都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳以上の男性,85歳以上の女性,世帯数,備考
352012,,山口県,下関市,2020-09-30,小月_小月本町二丁目,761,366,395,17,21,20,15,12,7,8,14,16,12,24,21,28,34,36,22,23,23,36,21,16,18,18,14,19,30,23,26,28,34,17,22,11,31,14,30,412,
352012,,山口県,下関市,2020-09-30,小月_小月市原町,553,285,268,11,9,9,5,13,13,11,11,19,13,15,12,17,17,15,7,22,16,18,19,24,17,21,20,22,23,21,12,15,22,10,18,12,18,10,16,246,
352012,,山口県,下関市,2020-09-30,小月_小月幸町,266,126,140,3,0,2,3,4,4,2,6,7,13,11,7,7,9,8,5,7,9,13,12,9,9,8,5,14,10,4,10,13,17,11,6,1,14,2,1,143,
352012,,山口県,下関市,2020-09-30,小月_小月宮の町,590,285,305,8,7,21,12,13,15,12,15,12,5,9,5,13,7,18,16,20,18,22,25,21,15,16,13,12,17,19,34,27,22,14,23,19,21,9,35,271,
352012,,山口県,下関市,2020-09-30,小月_小月京泊,200,97,103,3,1,1,3,4,2,4,1,4,5,3,2,2,4,3,4,8,3,6,8,8,5,6,5,11,11,9,8,8,9,4,9,8,14,5,9,109,
352012,,山口県,下関市,2020-09-30,小月_小月西の台,242,117,125,10,4,7,7,2,1,5,5,4,5,8,9,8,6,4,9,9,9,10,5,4,5,5,8,9,4,6,9,11,13,6,9,5,7,4,10,129,
352012,,山口県,下関市,2020-09-30,小月_小月小島一丁目,37,24,13,0,0,0,0,0,0,1,0,2,0,0,0,1,3,2,1,3,1,2,2,3,1,1,0,2,2,3,1,1,1,1,0,1,1,1,0,31,
352012,,山口県,下関市,2020-09-30,小月_小月小島二丁目,211,94,117,3,4,1,3,2,2,2,6,3,10,8,7,8,6,5,6,5,2,5,4,7,9,5,7,8,13,12,7,3,12,10,7,3,4,4,8,114,
352012,,山口県,下関市,2020-09-30,小月_小月南町,247,118,129,0,6,4,2,3,4,4,6,8,3,5,8,4,4,6,7,6,6,9,4,7,10,17,13,11,8,13,8,10,14,6,10,2,7,3,9,117,
352012,,山口県,下関市,2020-09-30,小月_小月高雄町,304,141,163,2,6,8,5,14,12,15,18,9,14,3,4,3,6,12,11,9,13,12,17,18,20,11,8,9,10,7,6,3,6,3,2,2,3,1,2,111,
