防災行政無線_全国地方公共団体コード,施設_ID,設備_ID,防災行政無線_ID,防災行政無線_名称,防災行政無線_名称（カナ）,防災行政無線_名称（英字）,防災行政無線_説明,防災行政無線_緯度,防災行政無線_経度,防災行政無線_座標参照系,防災行政無線_座標参照系コード,防災行政無線_地区名,防災行政無線_備考,住所（緯度経度が不明な場合）,
352080,,,0002600207,ぼうさいおづ,,,,34°07’58”,132°12’37”,,,旧岩国市,,,
352080,,,0002600208,ぼうさいながはま,,,,34°08’23”,132°12’35”,,,旧岩国市,,,
352080,,,0002600209,ぼうさいあたごやま,,,,34°08’42”,132°12’00”,,,旧岩国市,,,
352080,,,0002600210,ぼうさいうしのや,,,,34°09’23”,132°11’51”,,,旧岩国市,,,
352080,,,0002600211,ぼうさいうんどうこうえん,,,,34°09’24”,132°11’12”,,,旧岩国市,,,
352080,,,0002600212,ぼうさいみょうしょうだい,,,,34°09’08”,132°10’56”,,,旧岩国市,,,
352080,,,0002600213,ぼうさいひらた,,,,34°08’41”,132°11’07”,,,旧岩国市,,,
352080,,,0002600214,ぼうさいうめがおか,,,,34°08’17”,132°11’08”,,,旧岩国市,,,
352080,,,0002600215,ぼうさいやまなか,,,,34°08’29”,132°11’47”,,,旧岩国市,,,
352080,,,0002600216,ぼうさいとーよど,,,,34°08’13”,132°11’27”,,,旧岩国市,,,
352080,,,0002600217,ぼうさいとしょかん,,,,34°08’01”,132°11’44”,,,旧岩国市,,,
352080,,,0002600218,ぼうさいえびす,,,,34°07’37”,132°11’57”,,,旧岩国市,,,
352080,,,0002600219,ぼうさいみどろ,,,,34°07’21”,132°11’20”,,,旧岩国市,,,
352080,,,0002600220,ぼうさいなだ,,,,34°06’54”,132°11’58”,,,旧岩国市,,,
352080,,,0002600221,ぼうさいふじゅうこう,,,,34°06’39”,132°12’00”,,,旧岩国市,,,
352080,,,0002600222,ぼうさいくろいそ,,,,34°06’17”,132°11’40”,,,旧岩国市,,,
352080,,,0002600223,ぼうさいおおぎ,,,,34°06’00”,132°12’07”,,,旧岩国市,,,
352080,,,0002600224,ぼうさいはぎわら,,,,34°05’28”,132°12’10”,,,旧岩国市,,,
352080,,,0002600225,ぼうさいあおばだい,,,,34°05’01”,132°12’28”,,,旧岩国市,,,
352080,,,0002600226,ぼうさいまつざき,,,,34°04’36”,132°11’42”,,,旧岩国市,,,
352080,,,0002600227,ぼうさいなみのうら,,,,34°04’43”,132°12’13”,,,旧岩国市,,,
352080,,,0002600228,ぼうさいつづ,,,,34°04’17”,132°12’26”,,,旧岩国市,,,
352080,,,0002600229,ぼうさいながの,,,,34°03’06”,132°11’29”,,,旧岩国市,,,
352080,,,0002600230,ぼうさいいちもんじ,,,,34°10’50”,132°13’53”,,,旧岩国市,,,
352080,,,0002600231,ぼうさいしょうわまち,,,,34°10’36”,132°13’51”,,,旧岩国市,,,
352080,,,0002600232,ぼうさいはちまんやま,,,,34°10’04”,132°12’40”,,,旧岩国市,,,
352080,,,0002600233,ぼうさいよほうだ,,,,34°08’13”,132°12’18”,,,旧岩国市,,,
352080,,,0002600234,ぼうさいしののめだい,,,,34°07’34”,132°11’46”,,,旧岩国市,,,
352080,,,0002600235,ぼうさいこうばた,,,,34°06’31”,132°10’20”,,,旧岩国市,,,
352080,,,0002600236,ぼうさいろくろし,,,,34°06’10”,132°09’45”,,,旧岩国市,,,
352080,,,0002600237,ぼうさいおおふじ,,,,34°05’53”,132°09’39”,,,旧岩国市,,,
352080,,,0002600238,ぼうさいかのうぎ,,,,34°05’43”,132°08’19”,,,旧岩国市,,,
352080,,,0002600239,ぼうさいつづしょう,,,,34°04’24”,132°12’15”,,,旧岩国市,,,
352080,,,0002600240,ぼうさいおどまり,,,,34°03’25”,132°12’28”,,,旧岩国市,,,
352080,,,0002600241,ぼうさいあさひだいいち,,,,34°09’34”,132°13’38”,,,旧岩国市,,,
352080,,,0002600242,ぼうさいきっこうこうえん,,,,34°10’09”,132°10’32”,,,旧岩国市,,,
352080,,,0002600243,柱島,,,,34°01’19”,132°25’17”,,,旧岩国市,ボイスパケットによる放送,,
352080,,,0002600244,黒島,,,,33°59’53”,132°20’05”,,,旧岩国市,ボイスパケットによる放送,,
352080,,,0002600245,端島,,,,34°02’14”,132°23’11”,,,旧岩国市,ボイスパケットによる放送,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
