NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
128,樽見漁港用地,タルミギョコウヨウチ,山口県大島郡周防大島町大字浮島４９５－１,,,,,,,353051,山口県,周防大島町,1,1,,1,,1,1,,,1000(2㎡あたり1人）,,,
129,鹿家区民館（鹿家地区農事集会所）,シシノエクミンカン（シシノエチクノウジシュウカイショ）,山口県大島郡周防大島町大字東安下庄458‐2,,,,,,,353051,山口県,周防大島町,,,,,,,,,,30(3.3㎡あたり1人),,,
130,安高区民館,アダカクミンカン,山口県大島郡周防大島町大字東安下庄1219-3,,,,,,,353051,山口県,周防大島町,,,,,,,,,,40(3.3㎡あたり1人),,,
131,原地区学習等供用施設,ハラチクガクシュウトウキョウヨウシセツ,山口県大島郡周防大島町大字東安下庄3018‐5,,,,,,,353051,山口県,周防大島町,,,,,,,,,,40(3.3㎡あたり1人),,,
132,古城区民館,コジョウクミンカン,山口県大島郡周防大島町大字東安下庄1862-31,,,,,,,353051,山口県,周防大島町,,,,,,,,,,25(3.3㎡あたり1人),,,
133,和戸老人憩の家,ワコロウジンイコイノイエ,山口県大島郡周防大島町大字東安下庄2210‐1,,,,,,,353051,山口県,周防大島町,,,,,,,,,,20(3.3㎡あたり1人),,,
134,塩宇区民館,シオウクミンカン,山口県大島郡周防大島町大字東安下庄2692,,,,,,,353051,山口県,周防大島町,,,,,,,,,,20(3.3㎡あたり1人),,,
135,周防大島高等学校（安下庄校舎）体育館,スオウオオシマコウトウガッコウ（アゲノショウコウシャ）タイイクカン,山口県大島郡周防大島町大字西安下庄489,,,,,,,353051,山口県,周防大島町,,,,,,,,,,250(3.3㎡あたり1人),,,
136,JA山口大島安下庄支所,ジェイエーヤマグチオオシマアゲノショウシショ,山口県大島郡周防大島町大字西安下庄3920‐4,,,,,,,353051,山口県,周防大島町,,,,,,,,,,110(3.3㎡あたり1人),,,
137,安下庄小学校,アゲノショウチュウガッコウ,山口県大島郡周防大島町大字西安下庄418,,,,,,,353051,山口県,周防大島町,,,,,,,,,,280(3.3㎡あたり1人),,,
138,安下庄小学校体育館,アゲノショウショウガッコウタイイクカン,山口県大島郡周防大島町大字西安下庄418,,,,,,,353051,山口県,周防大島町,,,,,,,,,,120(3.3㎡あたり1人),,,
139,橘総合センター,タチバナソウゴウセンター,山口県大島郡周防大島町大字西安下庄445-2,,,,,,,353051,山口県,周防大島町,,,,,,,,,,480(3.3㎡あたり1人),,,
