番号,植物名,緯度,経度,科,属,原産,説明,写真1,写真2,写真3
501,スダジイ,33.950253,131.278395,ブナ科,Castanopsis＝シイ属,,山地生、常緑高木、雌雄同株、高さ２０ｍ、葉と堅果はコジイより長大、虫媒花、花期５月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_05_1.jpg,,
502,スダジイ,33.950253,131.288834,ブナ科,Castanopsis＝シイ属,,山地生、常緑高木、雌雄同株、高さ２０ｍ、葉と堅果はコジイより長大、虫媒花、花期５月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_05_1.jpg,,
601,エノキ,33.949304,131.281597,ニレ科,Celtis＝エノキ属,,落葉高木、雌雄同株、高さ２０ｍ、葉は鈍鋸葉縁、葉脈３〜４対、左右不同、花４月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_06_1.jpg,,
602,エノキ,33.949892,131.289278,ニレ科,Celtis＝エノキ属,,落葉高木、雌雄同株、高さ２０ｍ、葉は鈍鋸葉縁、葉脈３〜４対、左右不同、花４月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_06_1.jpg,,
701,ムクノキ,33.955196,131.281446,ニレ科,Aphananthe＝ムクノキ属,,山地生落葉高木、雌雄異花、葉は鋭鋸歯縁、葉脈６〜８対、雄花は集散花序、雌花披針形,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_07_1.jpg,,
801,ヤブニッケイ,33.947405,131.283322,クスノキ科,Cinnamomum＝クスノキ属,,山地生常緑高木、高さ１５ｍ、若枝は黄緑色、葉は対生と互生、全縁で波状、３行脈、花６月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_08_1.jpg,,
802,ヤブニッケイ,33.949335,131.281146,クスノキ科,Cinnamomum＝クスノキ属,,山地生常緑高木、高さ１５ｍ、若枝は黄緑色、葉は対生と互生、全縁で波状、３行脈、花６月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_08_1.jpg,,
803,ヤブニッケイ,33.950605,131.288408,クスノキ科,Cinnamomum＝クスノキ属,,山地生常緑高木、高さ１５ｍ、若枝は黄緑色、葉は対生と互生、全縁で波状、３行脈、花６月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_08_1.jpg,,
901,ヤマモモ,33.955889,131.288361,ヤマモモ科,Myrica＝ヤマモモ属,,山地生常緑高木、雌雄異株、葉は枝先に集合、花穂は短い、柱頭は２裂,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_09_1.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_09_2.jpg,
1001,クロバイ,33.950778,131.281152,ハイノキ科,Symplocos＝ハイノキ属,,山地生常緑高木、高さ１０ｍ、枝は黒褐色、葉柄は１ｃｍ、花は総状花序、白色、花期４月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_10_1.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_10_2.jpg,
1002,クロバイ,33.960677,131.290271,ハイノキ科,Symplocos＝ハイノキ属,,山地生常緑高木、高さ１０ｍ、枝は黒褐色、葉柄は１ｃｍ、花は総状花序、白色、花期４月,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_10_1.jpg,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_10_2.jpg,
1101,ユーカリ（植栽）,33.949083,131.282802,フトモモ科,Eucalyptus＝ユーカリノキ属,原産；豪州,５００種以上あり種の同定が難しい、高さ５０ｍになる高木、成木の葉は互生し鎌形、全縁,https://yamaguchi-opendata.jp/ckan/file-upload-system/35202/tokiwapark_plants/tokiwa_plant_11_1.jpg,,
