都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
352012,173,山口県,下関市,下関市営下関庭球場,シモノセキシエイシモノセキテイキュウジョウ,下関市向洋町1-9-1,,,,,,,,,,,,,,,
352012,174,山口県,下関市,下関北運動公園庭球場,シモノセキキタウンドウコウエンテイキュウジョウ,下関市大字冨任字小迫,,,,,,,,,,,,,,,
352012,175,山口県,下関市,下関市武道館,シモノセキシブドウカン,下関市中之町1-23,,,,,,,,,,,,,,,
352012,176,山口県,下関市,下関市彦島武道館,シモノセキシヒコシマブドウカン,下関市彦島江の浦町1-1-1,,,,,,,,,,,,,,,
352012,177,山口県,下関市,下関市長府武道館,シモノセキシチョウフブドウカン,下関市長府宮の内町3-8,,,,,,,,,,,,,,,
352012,178,山口県,下関市,乃木浜総合公園,ノギハマソウゴウコウエン,下関市乃木浜二丁目,,,,,,,,,,,,,,,
352012,179,山口県,下関市,下関市立西市公民館,シモノセキシリツニシイチコウミンカン,下関市豊田町大字矢田153番地１,,,,,,,,,,,,,,,
352012,180,山口県,下関市,下関市満珠荘,シモノセキシマンジュソウ,下関市みもすそ川町3-75,,,,,,,,,,,,,,,
352012,181,山口県,下関市,生涯学習プラザ,ショウガイガクシュウプラザ,下関市細江町三丁目１－１,,,,,,,,,,,,,,,
352012,182,山口県,下関市,下関市立近代先人顕彰館,シモノセキシリツキンダイセンジンケンショウカン,下関市田中町5-7,,,,,,,,,,,,,,,
352012,183,山口県,下関市,土井ヶ浜遺跡・人類学ミュージアム,ドイガハマイセキ・ジンルイガクミュージアム,下関市豊北町大字神田上891-8,,,,,,,,,,,,,,,
352012,184,山口県,下関市,リフレッシュパーク豊浦,リフレッシュパークトヨウラ,下関市豊浦町川棚,,,,,,,,,,,,,,,
352012,185,山口県,下関市,しものせき市民活動センター,シモノセキシミンカツドウセンター,下関市竹崎町４丁目４-２-201,,,,,,,,,,,,,,,
352012,186,山口県,下関市,豊田ホタルの里ミュージアム,トヨタホタルノサトミュージアム,下関市豊田町大字中村50-3,,,,,,,,,,,,,,,
352012,187,山口県,下関市,豊田中公民館,トヨタナカコウミンカン,下関市豊田町大字八道2544-1,,,,,,,,,,,,,,,
352012,188,山口県,下関市,三豊公民館,サンポウコウミンカン,下関市豊田町大字地吉122,,,,,,,,,,,,,,,
352012,189,山口県,下関市,下関市立考古博物館,シモノセキシリツコウコハクブツカン,下関市大字綾羅木字岡454,,,,,,,,,,,,,,,
352012,190,山口県,下関市,滝部公民館,タキベコウミンカン,下関市豊北町大字滝部3397-12,,,,,,,,,,,,,,,
352012,191,山口県,下関市,中央霊園,チュウオウレイエン,下関市大字井田,,,,,,,,,,,,,,,
352012,192,山口県,下関市,中央こども園,チュウオウコドモエン,下関市幡生新町1-10,,,,,,,,,,,,,,,
352012,193,山口県,下関市,菊川ベルちゃん体育館,キクガワベルチャンタイイクカン,下関市菊川町大字下岡枝,,,,,,,,,,,,,,,
352012,194,山口県,下関市,下関市赤間町駐車場,シモノセキシアカマチョウチュウシャジョウ,下関市赤間町7-35,,,,,,,,,,,,,,,
352012,195,山口県,下関市,下関市細江町駐車場,シモノセキシホソエチョウチュウシャジョウ,下関市細江町二丁目8-25,,,,,,,,,,,,,,,
352012,196,山口県,下関市,下関市長門町駐車場,シモノセキシナガトマチチュウシャジョウ,下関市長門町10-1,,,,,,,,,,,,,,,
352012,197,山口県,下関市,下関市立長府図書館,シモノセキシリツチョウフトショカン,下関市長府宮の内町1-30,,,,,,,,,,,,,,,
352012,198,山口県,下関市,下関市立彦島図書館,シモノセキシリツヒコシマトショカン,下関市彦島江の浦町一丁目4-28,,,,,,,,,,,,,,,
352012,199,山口県,下関市,下関市立菊川図書館,シモノセキシリツキクガワトショカン,下関市菊川町下岡枝193-8,,,,,,,,,,,,,,,
