trans_id,lang,translation
向原口,zh-tw,向原口
庄原口,ja,庄原口
庄原口,ja-Hrkt,しょうばらぐち
庄原口,en,Shobara-guchi
庄原口,ko,쇼바라 구치
庄原口,zh-cn,庄原口
庄原口,zh-tw,莊原口
豊平支所,ja,豊平支所
豊平支所,ja-Hrkt,とよひらししょ
豊平支所,en,Toyohira Shisho (Toyohira Branch)
豊平支所,ko,도요히라 시쇼
豊平支所,zh-cn,丰平支所
豊平支所,zh-tw,豐平支所
豊平支所前,ja,豊平支所前
豊平支所前,ja-Hrkt,とよひらししょ
豊平支所前,en,Toyohira Shisho (Toyohira Branch)
豊平支所前,ko,도요히라 시쇼
豊平支所前,zh-cn,丰平支所
豊平支所前,zh-tw,豐平支所
琴谷,ja,琴谷
琴谷,ja-Hrkt,ことだに
琴谷,en,Kotodani
琴谷,ko,고토다니
琴谷,zh-cn,琴谷
琴谷,zh-tw,琴谷
琴谷車庫,ja,琴谷車庫
琴谷車庫,ja-Hrkt,ことだにしゃこ
琴谷車庫,en,Kotodani Shako (Kotodani Depot)
琴谷車庫,ko,고토다니 차고
琴谷車庫,zh-cn,琴谷车库
琴谷車庫,zh-tw,琴谷車庫
海老山公園前,ja,海老山公園前
海老山公園前,ja-Hrkt,かいろうやまこうえんまえ
海老山公園前,en,Kairoyama Koen-mae (Kairoyama Park)
海老山公園前,ko,가이로야마 공원
海老山公園前,zh-cn,海老山公园前
海老山公園前,zh-tw,海老山公園前
豊平学園下,ja,豊平学園下
豊平学園下,ja-Hrkt,とよひらがくえんした
豊平学園下,en,Toyohira Gakuen-shita (Toyohira Gakuen School)
豊平学園下,ko,도요히라 학원
豊平学園下,zh-cn,丰平学园下
豊平学園下,zh-tw,豐平學園下
上大町,ja,上大町
上大町,ja-Hrkt,かみおおまち
上大町,en,Kami-omachi
上大町,ko,가미오마치
上大町,zh-cn,上大町
上大町,zh-tw,上大町
安小峠,ja,安小峠
安小峠,ja-Hrkt,やすこだお
安小峠,en,Yasuko-dao
安小峠,ko,야스코다오
安小峠,zh-cn,安小峠
安小峠,zh-tw,安小峠
下相田,ja,下相田
下相田,ja-Hrkt,しもあいだ
下相田,en,Shimo-aita
下相田,ko,시모아이타
下相田,zh-cn,下相田
下相田,zh-tw,下相田
相田,ja,相田
相田,ja-Hrkt,あいだ
相田,en,Aita
相田,ko,아이타
相田,zh-cn,相田
相田,zh-tw,相田
