trans_id,lang,translation,category,station_sid,course_sid
矢野ニュータウン入口,ja,矢野ニュータウン入口,stop_name,80238f6b-831b-4047-8495-06764b6dcd92,
矢野ニュータウン入口,ja-Hrkt,やのにゅーたうんいりぐち,stop_name,80238f6b-831b-4047-8495-06764b6dcd92,
矢野ニュータウン入口,en,Yano New Town-iriguchi,stop_name,80238f6b-831b-4047-8495-06764b6dcd92,
矢野ニュータウン入口,ko,야노 뉴타운 이리구치,stop_name,80238f6b-831b-4047-8495-06764b6dcd92,
矢野ニュータウン入口,zh-cn,矢野新城入口,stop_name,80238f6b-831b-4047-8495-06764b6dcd92,
矢野ニュータウン入口,zh-tw,矢野新城入口,stop_name,80238f6b-831b-4047-8495-06764b6dcd92,
矢野ニュータウン下,ja,矢野ニュータウン下,stop_name,a0799a2c-621f-42d8-b77a-ec88e90fd5ad,
矢野ニュータウン下,ja-Hrkt,やのにゅーたうんしも,stop_name,a0799a2c-621f-42d8-b77a-ec88e90fd5ad,
矢野ニュータウン下,en,Yano New Town-shimo,stop_name,a0799a2c-621f-42d8-b77a-ec88e90fd5ad,
矢野ニュータウン下,ko,야노 뉴타운 시모,stop_name,a0799a2c-621f-42d8-b77a-ec88e90fd5ad,
矢野ニュータウン下,zh-cn,矢野新城下,stop_name,a0799a2c-621f-42d8-b77a-ec88e90fd5ad,
矢野ニュータウン下,zh-tw,矢野新城下,stop_name,a0799a2c-621f-42d8-b77a-ec88e90fd5ad,
矢野ニュータウン公園,ja,矢野ニュータウン公園,stop_name,f53bb221-b553-41c8-b51e-cb385816a40e,
矢野ニュータウン公園,ja-Hrkt,やのにゅーたうんこうえん,stop_name,f53bb221-b553-41c8-b51e-cb385816a40e,
矢野ニュータウン公園,en,Yano New Town Koen (Yano New Town Park),stop_name,f53bb221-b553-41c8-b51e-cb385816a40e,
矢野ニュータウン公園,ko,야노 뉴타운 공원,stop_name,f53bb221-b553-41c8-b51e-cb385816a40e,
矢野ニュータウン公園,zh-cn,矢野新城公园,stop_name,f53bb221-b553-41c8-b51e-cb385816a40e,
矢野ニュータウン公園,zh-tw,矢野新城公園,stop_name,f53bb221-b553-41c8-b51e-cb385816a40e,
矢野ニュータウン中,ja,矢野ニュータウン中,stop_name,7d6599e7-5597-4e9e-a540-8e9f2b409fe3,
矢野ニュータウン中,ja-Hrkt,やのにゅーたうんなか,stop_name,7d6599e7-5597-4e9e-a540-8e9f2b409fe3,
矢野ニュータウン中,en,Yano New Town-naka,stop_name,7d6599e7-5597-4e9e-a540-8e9f2b409fe3,
矢野ニュータウン中,ko,야노 뉴타운 나카,stop_name,7d6599e7-5597-4e9e-a540-8e9f2b409fe3,
矢野ニュータウン中,zh-cn,矢野新城中,stop_name,7d6599e7-5597-4e9e-a540-8e9f2b409fe3,
矢野ニュータウン中,zh-tw,矢野新城中,stop_name,7d6599e7-5597-4e9e-a540-8e9f2b409fe3,
矢野ニュータウン上,ja,矢野ニュータウン上,stop_name,69ea43d3-bfea-45c0-b6de-8582a9fa7d04,
矢野ニュータウン上,ja-Hrkt,やのにゅーたうんかみ,stop_name,69ea43d3-bfea-45c0-b6de-8582a9fa7d04,
矢野ニュータウン上,en,Yano New Town-kami,stop_name,69ea43d3-bfea-45c0-b6de-8582a9fa7d04,
矢野ニュータウン上,ko,야노 뉴타운 카미,stop_name,69ea43d3-bfea-45c0-b6de-8582a9fa7d04,
矢野ニュータウン上,zh-cn,矢野新城上,stop_name,69ea43d3-bfea-45c0-b6de-8582a9fa7d04,
矢野ニュータウン上,zh-tw,矢野新城上,stop_name,69ea43d3-bfea-45c0-b6de-8582a9fa7d04,
広島空港,ja,広島空港,stop_name,edf5c01c-c1d3-40fb-8498-adcb6f10e1a8,
広島空港,ja-Hrkt,ひろしまくうこう,stop_name,edf5c01c-c1d3-40fb-8498-adcb6f10e1a8,
広島空港,en,Hiroshima Airport,stop_name,edf5c01c-c1d3-40fb-8498-adcb6f10e1a8,
広島空港,ko,히로시마 공항,stop_name,edf5c01c-c1d3-40fb-8498-adcb6f10e1a8,
広島空港,zh-cn,广岛空港,stop_name,edf5c01c-c1d3-40fb-8498-adcb6f10e1a8,
広島空港,zh-tw,廣島空港,stop_name,edf5c01c-c1d3-40fb-8498-adcb6f10e1a8,
津田口,ja,津田口,stop_name,f9dc6c25-3784-412b-b5ee-8e3e2179f0f7,
津田口,ja-Hrkt,つたぐち,stop_name,f9dc6c25-3784-412b-b5ee-8e3e2179f0f7,
津田口,en,Tsuta-guchi,stop_name,f9dc6c25-3784-412b-b5ee-8e3e2179f0f7,
津田口,ko,쓰타 구치,stop_name,f9dc6c25-3784-412b-b5ee-8e3e2179f0f7,
津田口,zh-cn,津田口,stop_name,f9dc6c25-3784-412b-b5ee-8e3e2179f0f7,
津田口,zh-tw,津田口,stop_name,f9dc6c25-3784-412b-b5ee-8e3e2179f0f7,
Ａシティ中央,ja,Ａシティ中央,stop_name,e3afcde4-db8f-4bb3-8d53-59678338b4fb,
Ａシティ中央,ja-Hrkt,えーしてぃちゅうおう,stop_name,e3afcde4-db8f-4bb3-8d53-59678338b4fb,
Ａシティ中央,en,A City-chuo,stop_name,e3afcde4-db8f-4bb3-8d53-59678338b4fb,
Ａシティ中央,ko,A 시티 추오,stop_name,e3afcde4-db8f-4bb3-8d53-59678338b4fb,
Ａシティ中央,zh-cn,A.CITY中央,stop_name,e3afcde4-db8f-4bb3-8d53-59678338b4fb,
