赤ちゃんの駅_全国地方公共団体コード,施設_ID,赤ちゃんの駅_ID,赤ちゃんの駅_名称,赤ちゃんの駅_名称（カナ）,赤ちゃんの駅_名称（英字）,赤ちゃんの駅_説明,赤ちゃんの駅_緯度,赤ちゃんの駅_経度,赤ちゃんの駅_座標参照系,赤ちゃんの駅_座標参照系コード,赤ちゃんの駅_施設区分,赤ちゃんの駅_お湯の有無,,
352152,BSOAN0000077,BSOAN0000077,Honda　Cars周南　周南店,,,赤ちゃん向けの施設です,34.068900,131.780912,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000078,BSOAN0000078,Honda　Cars山口　徳山西店,,,赤ちゃん向けの施設です,34.069587,131.784371,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000079,BSOAN0000079,Honda　Cars徳山,,,赤ちゃん向けの施設です,34.032205,131.837007,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000080,BSOAN0000080,ガスト徳山周陽店,,,赤ちゃん向けの施設です,34.049287,131.829605,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000081,BSOAN0000081,ウォンツ周南富田店,,,赤ちゃん向けの施設です,34.072140,131.756186,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000082,BSOAN0000082,山口マツダ株式会社　周南東店,,,赤ちゃん向けの施設です,34.020223,131.836224,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000083,BSOAN0000083,山口ダイハツ販売（株）　徳山店,,,赤ちゃん向けの施設です,34.018297,131.840730,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000084,BSOAN0000084,山口日産自動車株式会社周南浦山店,,,赤ちゃん向けの施設です,34.067192,131.794650,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000085,BSOAN0000085,山口日産自動車株式会社久米店,,,赤ちゃん向けの施設です,34.028969,131.843499,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000086,BSOAN0000086,山口三菱自動車販売（株）,,,赤ちゃん向けの施設です,34.017722,131.839261,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000087,BSOAN0000087,山口スバル（株）周南店,,,赤ちゃん向けの施設です,34.068996,131.790222,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000088,BSOAN0000088,ジョリーパスタ,,,赤ちゃん向けの施設です,34.061509,131.811089,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000089,BSOAN0000089,ジョリーオックス,,,赤ちゃん向けの施設です,34.061414,131.811443,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000090,BSOAN0000090,（有）陶千矛,,,赤ちゃん向けの施設です,34.035811,131.832266,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000091,BSOAN0000091,くまの薬局　周南店,,,赤ちゃん向けの施設です,34.049921,131.827581,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000092,BSOAN0000092,山口マツダ株式会社　周南西店,,,赤ちゃん向けの施設です,34.068485,131.791939,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000093,BSOAN0000093,高橋薬局,,,赤ちゃん向けの施設です,34.058286,131.804100,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000094,BSOAN0000094,まちだ薬局,,,赤ちゃん向けの施設です,34.059358,131.811468,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000095,BSOAN0000095,（株）イズミ　ゆめタウン徳山,,,赤ちゃん向けの施設です,34.042734,131.815595,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000096,BSOAN0000096,徳山工業高等専門学校,,,赤ちゃん向けの施設です,34.052099,131.846578,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000097,BSOAN0000097,平成薬局,,,赤ちゃん向けの施設です,34.048901,131.834386,世界測地系,EPSG:4326,民間,,,
352152,BSOAN0000098,BSOAN0000098,周南市立徳山駅前図書館,,,赤ちゃん向けの施設です,34.051493,131.802998,世界測地系,EPSG:4326,民間,,,
