service_id,date,exception_type
火・水・金曜日運行,20250603,1
火・水・金曜日運行,20250604,1
火・水・金曜日運行,20250606,1
火・水・金曜日運行,20250610,1
火・水・金曜日運行,20250611,1
火・水・金曜日運行,20250613,1
火・水・金曜日運行,20250617,1
火・水・金曜日運行,20250618,1
火・水・金曜日運行,20250620,1
火・水・金曜日運行,20250624,1
火・水・金曜日運行,20250625,1
火・水・金曜日運行,20250627,1
火・水・金曜日運行,20250701,1
火・水・金曜日運行,20250702,1
火・水・金曜日運行,20250704,1
火・水・金曜日運行,20250708,1
火・水・金曜日運行,20250709,1
火・水・金曜日運行,20250711,1
火・水・金曜日運行,20250715,1
火・水・金曜日運行,20250716,1
火・水・金曜日運行,20250718,1
火・水・金曜日運行,20250722,1
火・水・金曜日運行,20250723,1
火・水・金曜日運行,20250725,1
火・水・金曜日運行,20250729,1
火・水・金曜日運行,20250730,1
火・水・金曜日運行,20250801,1
火・水・金曜日運行,20250805,1
火・水・金曜日運行,20250806,1
火・水・金曜日運行,20250808,1
火・水・金曜日運行,20250812,1
火・水・金曜日運行,20250813,1
火・水・金曜日運行,20250815,1
火・水・金曜日運行,20250819,1
火・水・金曜日運行,20250820,1
火・水・金曜日運行,20250822,1
火・水・金曜日運行,20250826,1
火・水・金曜日運行,20250827,1
火・水・金曜日運行,20250829,1
火・水・金曜日運行,20250902,1
火・水・金曜日運行,20250903,1
火・水・金曜日運行,20250905,1
火・水・金曜日運行,20250909,1
火・水・金曜日運行,20250910,1
火・水・金曜日運行,20250912,1
火・水・金曜日運行,20250916,1
火・水・金曜日運行,20250917,1
火・水・金曜日運行,20250919,1
火・水・金曜日運行,20250924,1
火・水・金曜日運行,20250926,1
火・水・金曜日運行,20250930,1
毎日運行2,20250401,1
毎日運行2,20250402,1
毎日運行2,20250403,1
毎日運行2,20250404,1
毎日運行2,20250405,1
毎日運行2,20250406,1
毎日運行2,20250407,1
毎日運行2,20250408,1
毎日運行2,20250409,1
毎日運行2,20250410,1
毎日運行2,20250411,1
毎日運行2,20250412,1
毎日運行2,20250413,1
毎日運行2,20250414,1
毎日運行2,20250415,1
毎日運行2,20250416,1
毎日運行2,20250417,1
毎日運行2,20250418,1
毎日運行2,20250419,1
毎日運行2,20250420,1
毎日運行2,20250421,1
毎日運行2,20250422,1
毎日運行2,20250423,1
毎日運行2,20250424,1
毎日運行2,20250425,1
毎日運行2,20250426,1
毎日運行2,20250427,1
毎日運行2,20250428,1
毎日運行2,20250429,1
毎日運行2,20250430,1
毎日運行2,20250501,1
毎日運行2,20250502,1
毎日運行2,20250503,1
毎日運行2,20250504,1
毎日運行2,20250505,1
毎日運行2,20250506,1
毎日運行2,20250507,1
毎日運行2,20250508,1
毎日運行2,20250509,1
毎日運行2,20250510,1
毎日運行2,20250511,1
毎日運行2,20250512,1
毎日運行2,20250513,1
毎日運行2,20250514,1
毎日運行2,20250515,1
毎日運行2,20250516,1
毎日運行2,20250517,1
毎日運行2,20250518,1
毎日運行2,20250519,1
毎日運行2,20250520,1
毎日運行2,20250521,1
毎日運行2,20250522,1
毎日運行2,20250523,1
毎日運行2,20250524,1
毎日運行2,20250525,1
毎日運行2,20250526,1
毎日運行2,20250527,1
毎日運行2,20250528,1
毎日運行2,20250529,1
毎日運行2,20250530,1
毎日運行2,20250531,1
毎日運行2,20250601,1
毎日運行2,20250602,1
毎日運行2,20250603,1
毎日運行2,20250604,1
毎日運行2,20250605,1
毎日運行2,20250606,1
毎日運行2,20250607,1
毎日運行2,20250608,1
毎日運行2,20250609,1
毎日運行2,20250610,1
毎日運行2,20250611,1
毎日運行2,20250612,1
毎日運行2,20250613,1
毎日運行2,20250614,1
毎日運行2,20250615,1
毎日運行2,20250616,1
毎日運行2,20250617,1
毎日運行2,20250618,1
毎日運行2,20250619,1
毎日運行2,20250620,1
毎日運行2,20250621,1
毎日運行2,20250622,1
毎日運行2,20250623,1
毎日運行2,20250624,1
毎日運行2,20250625,1
毎日運行2,20250626,1
毎日運行2,20250627,1
毎日運行2,20250628,1
毎日運行2,20250629,1
毎日運行2,20250630,1
毎日運行2,20250701,1
毎日運行2,20250702,1
毎日運行2,20250703,1
毎日運行2,20250704,1
毎日運行2,20250705,1
毎日運行2,20250706,1
毎日運行2,20250707,1
毎日運行2,20250708,1
毎日運行2,20250709,1
毎日運行2,20250710,1
毎日運行2,20250711,1
毎日運行2,20250712,1
毎日運行2,20250713,1
毎日運行2,20250714,1
毎日運行2,20250715,1
毎日運行2,20250716,1
毎日運行2,20250717,1
毎日運行2,20250718,1
毎日運行2,20250719,1
毎日運行2,20250720,1
毎日運行2,20250721,1
毎日運行2,20250722,1
毎日運行2,20250723,1
毎日運行2,20250724,1
毎日運行2,20250725,1
毎日運行2,20250726,1
毎日運行2,20250727,1
毎日運行2,20250728,1
毎日運行2,20250729,1
毎日運行2,20250730,1
毎日運行2,20250731,1
毎日運行2,20250801,1
毎日運行2,20250802,1
毎日運行2,20250803,1
毎日運行2,20250804,1
毎日運行2,20250805,1
毎日運行2,20250806,1
毎日運行2,20250807,1
毎日運行2,20250808,1
毎日運行2,20250809,1
毎日運行2,20250810,1
毎日運行2,20250811,1
毎日運行2,20250812,1
毎日運行2,20250813,1
毎日運行2,20250814,1
毎日運行2,20250815,1
毎日運行2,20250816,1
毎日運行2,20250817,1
毎日運行2,20250818,1
毎日運行2,20250819,1
毎日運行2,20250820,1
毎日運行2,20250821,1
毎日運行2,20250822,1
毎日運行2,20250823,1
毎日運行2,20250824,1
毎日運行2,20250825,1
毎日運行2,20250826,1
毎日運行2,20250827,1
毎日運行2,20250828,1
毎日運行2,20250829,1
毎日運行2,20250830,1
毎日運行2,20250831,1
毎日運行2,20250901,1
毎日運行2,20250902,1
毎日運行2,20250903,1
毎日運行2,20250904,1
